"Maze ID","Block ID","Block type","Block title","Block description","Tester ID","Started at","Completed at","Study duration (seconds)","Device type","OS","Vendor","Model","Browser","Browser version","Language","Source","Reach email","Mission type","Path","Screen ID","Screen duration (seconds)","Total duration (seconds)","Success","Give up","x","y","Total click count","Total misclick count","Misclick rate","Total misclick page count"
"454285010","3cb66ab7-df3e-4744-a7c4-0c6e14976d77","mission","Acesse as configurações","Navegue até a tela de configurações
","455157112","2025-10-15 10:46:57","2025-10-15 10:49:19",142,"mobile","Android",,"K","Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","986:851;1005:1846;1005:1906","986:851",9,10.09,"TRUE","FALSE",12,6,2,0,"0.00%",0
"454285010","3cb66ab7-df3e-4744-a7c4-0c6e14976d77","mission","Acesse as configurações","Navegue até a tela de configurações
","455157112","2025-10-15 10:46:57","2025-10-15 10:49:19",142,"mobile","Android",,"K","Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","986:851;1005:1846;1005:1906","1005:1846",1.1,10.09,"TRUE","FALSE",91,8,2,0,"0.00%",0
"454285010","3cb66ab7-df3e-4744-a7c4-0c6e14976d77","mission","Acesse as configurações","Navegue até a tela de configurações
","455160388","2025-10-15 11:02:34","2025-10-15 11:06:25",230.1,,"Windows",,,"Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","986:851;1005:1846;1005:1906","986:851",12.1,16.45,"TRUE","FALSE",9,5,2,0,"0.00%",0
"454285010","3cb66ab7-df3e-4744-a7c4-0c6e14976d77","mission","Acesse as configurações","Navegue até a tela de configurações
","455160388","2025-10-15 11:02:34","2025-10-15 11:06:25",230.1,,"Windows",,,"Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","986:851;1005:1846;1005:1906","1005:1846",4.4,16.45,"TRUE","FALSE",90,7,2,0,"0.00%",0
"454285010","3cb66ab7-df3e-4744-a7c4-0c6e14976d77","mission","Acesse as configurações","Navegue até a tela de configurações
","455162920","2025-10-15 11:09:10","2025-10-15 11:10:44",93.4,,"Windows",,,"Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","986:851;1005:1846;1005:1906","986:851",4.3,5.03,"TRUE","FALSE",7,6,2,0,"0.00%",0
"454285010","3cb66ab7-df3e-4744-a7c4-0c6e14976d77","mission","Acesse as configurações","Navegue até a tela de configurações
","455162920","2025-10-15 11:09:10","2025-10-15 11:10:44",93.4,,"Windows",,,"Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","986:851;1005:1846;1005:1906","1005:1846",0.8,5.03,"TRUE","FALSE",89,8,2,0,"0.00%",0
"454285010","3cb66ab7-df3e-4744-a7c4-0c6e14976d77","mission","Acesse as configurações","Navegue até a tela de configurações
","455172369","2025-10-15 11:37:50","2025-10-15 11:38:54",63.8,,"Windows",,,"Chrome","140.0.0.0","pt-BR","link",,"GOAL_BASED","986:851;1005:1846;1005:1906","986:851",2.6,3.86,"TRUE","FALSE",9,5,2,0,"0.00%",0
"454285010","3cb66ab7-df3e-4744-a7c4-0c6e14976d77","mission","Acesse as configurações","Navegue até a tela de configurações
","455172369","2025-10-15 11:37:50","2025-10-15 11:38:54",63.8,,"Windows",,,"Chrome","140.0.0.0","pt-BR","link",,"GOAL_BASED","986:851;1005:1846;1005:1906","1005:1846",1.3,3.86,"TRUE","FALSE",90,7,2,0,"0.00%",0
"454285010","3cb66ab7-df3e-4744-a7c4-0c6e14976d77","mission","Acesse as configurações","Navegue até a tela de configurações
","455203033","2025-10-15 13:14:21","2025-10-15 13:15:35",73.8,,"Windows",,,"Opera","122.0.0.0","pt-BR","link",,"GOAL_BASED","986:851;1005:1846;1005:1906","986:851",3,4.27,"TRUE","FALSE",9,5,2,0,"0.00%",0
"454285010","3cb66ab7-df3e-4744-a7c4-0c6e14976d77","mission","Acesse as configurações","Navegue até a tela de configurações
","455203033","2025-10-15 13:14:21","2025-10-15 13:15:35",73.8,,"Windows",,,"Opera","122.0.0.0","pt-BR","link",,"GOAL_BASED","986:851;1005:1846;1005:1906","1005:1846",1.3,4.27,"TRUE","FALSE",89,7,2,0,"0.00%",0
