"Maze ID","Block ID","Block type","Block title","Block description","Tester ID","Started at","Completed at","Study duration (seconds)","Device type","OS","Vendor","Model","Browser","Browser version","Language","Source","Reach email","Mission type","Path","Screen ID","Screen duration (seconds)","Total duration (seconds)","Success","Give up","x","y","Total click count","Total misclick count","Misclick rate","Total misclick page count"
"454285010","7a657ac6-f437-4a60-8667-0aefe1a46cc4","mission","Conclua a análise de uma viagem pendente","Acesse uma viagem pendente e conclua a análise desse viagem
","455157112","2025-10-15 10:46:57","2025-10-15 10:49:19",142,"mobile","Android",,"K","Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","986:851;1005:1184;1166:2688;2615:1764","986:851",6.3,19.14,"TRUE","FALSE",84,59,6,3,"50.00%",1
"454285010","7a657ac6-f437-4a60-8667-0aefe1a46cc4","mission","Conclua a análise de uma viagem pendente","Acesse uma viagem pendente e conclua a análise desse viagem
","455157112","2025-10-15 10:46:57","2025-10-15 10:49:19",142,"mobile","Android",,"K","Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","986:851;1005:1184;1166:2688;2615:1764","1005:1184",2.9,19.14,"TRUE","FALSE",74,49,6,3,"50.00%",1
"454285010","7a657ac6-f437-4a60-8667-0aefe1a46cc4","mission","Conclua a análise de uma viagem pendente","Acesse uma viagem pendente e conclua a análise desse viagem
","455157112","2025-10-15 10:46:57","2025-10-15 10:49:19",142,"mobile","Android",,"K","Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","986:851;1005:1184;1166:2688;2615:1764","1166:2688",10,19.14,"TRUE","FALSE",68,42,6,3,"50.00%",1
"454285010","7a657ac6-f437-4a60-8667-0aefe1a46cc4","mission","Conclua a análise de uma viagem pendente","Acesse uma viagem pendente e conclua a análise desse viagem
","455157112","2025-10-15 10:46:57","2025-10-15 10:49:19",142,"mobile","Android",,"K","Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","986:851;1005:1184;1166:2688;2615:1764","1166:2688",10,19.14,"TRUE","FALSE",70,66,6,3,"50.00%",1
"454285010","7a657ac6-f437-4a60-8667-0aefe1a46cc4","mission","Conclua a análise de uma viagem pendente","Acesse uma viagem pendente e conclua a análise desse viagem
","455157112","2025-10-15 10:46:57","2025-10-15 10:49:19",142,"mobile","Android",,"K","Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","986:851;1005:1184;1166:2688;2615:1764","1166:2688",10,19.14,"TRUE","FALSE",82,61,6,3,"50.00%",1
"454285010","7a657ac6-f437-4a60-8667-0aefe1a46cc4","mission","Conclua a análise de uma viagem pendente","Acesse uma viagem pendente e conclua a análise desse viagem
","455157112","2025-10-15 10:46:57","2025-10-15 10:49:19",142,"mobile","Android",,"K","Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","986:851;1005:1184;1166:2688;2615:1764","1166:2688",10,19.14,"TRUE","FALSE",62,92,6,3,"50.00%",1
"454285010","7a657ac6-f437-4a60-8667-0aefe1a46cc4","mission","Conclua a análise de uma viagem pendente","Acesse uma viagem pendente e conclua a análise desse viagem
","455160388","2025-10-15 11:02:34","2025-10-15 11:06:25",230.1,,"Windows",,,"Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","986:851;1005:1184;1237:476;1005:1184;1166:2688;1005:1184;1166:2688;2615:1764","986:851",2.6,32.36,"TRUE","FALSE",81,60,12,5,"41.67%",2
"454285010","7a657ac6-f437-4a60-8667-0aefe1a46cc4","mission","Conclua a análise de uma viagem pendente","Acesse uma viagem pendente e conclua a análise desse viagem
","455160388","2025-10-15 11:02:34","2025-10-15 11:06:25",230.1,,"Windows",,,"Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","986:851;1005:1184;1237:476;1005:1184;1166:2688;1005:1184;1166:2688;2615:1764","1005:1184",9,32.36,"TRUE","FALSE",22,27,12,5,"41.67%",2
"454285010","7a657ac6-f437-4a60-8667-0aefe1a46cc4","mission","Conclua a análise de uma viagem pendente","Acesse uma viagem pendente e conclua a análise desse viagem
","455160388","2025-10-15 11:02:34","2025-10-15 11:06:25",230.1,,"Windows",,,"Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","986:851;1005:1184;1237:476;1005:1184;1166:2688;1005:1184;1166:2688;2615:1764","1005:1184",9,32.36,"TRUE","FALSE",25,29,12,5,"41.67%",2
"454285010","7a657ac6-f437-4a60-8667-0aefe1a46cc4","mission","Conclua a análise de uma viagem pendente","Acesse uma viagem pendente e conclua a análise desse viagem
","455160388","2025-10-15 11:02:34","2025-10-15 11:06:25",230.1,,"Windows",,,"Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","986:851;1005:1184;1237:476;1005:1184;1166:2688;1005:1184;1166:2688;2615:1764","1005:1184",9,32.36,"TRUE","FALSE",71,29,12,5,"41.67%",2
"454285010","7a657ac6-f437-4a60-8667-0aefe1a46cc4","mission","Conclua a análise de uma viagem pendente","Acesse uma viagem pendente e conclua a análise desse viagem
","455160388","2025-10-15 11:02:34","2025-10-15 11:06:25",230.1,,"Windows",,,"Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","986:851;1005:1184;1237:476;1005:1184;1166:2688;1005:1184;1166:2688;2615:1764","1237:476",9.6,32.36,"TRUE","FALSE",40,9,12,5,"41.67%",2
"454285010","7a657ac6-f437-4a60-8667-0aefe1a46cc4","mission","Conclua a análise de uma viagem pendente","Acesse uma viagem pendente e conclua a análise desse viagem
","455160388","2025-10-15 11:02:34","2025-10-15 11:06:25",230.1,,"Windows",,,"Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","986:851;1005:1184;1237:476;1005:1184;1166:2688;1005:1184;1166:2688;2615:1764","1237:476",9.6,32.36,"TRUE","FALSE",41,39,12,5,"41.67%",2
"454285010","7a657ac6-f437-4a60-8667-0aefe1a46cc4","mission","Conclua a análise de uma viagem pendente","Acesse uma viagem pendente e conclua a análise desse viagem
","455160388","2025-10-15 11:02:34","2025-10-15 11:06:25",230.1,,"Windows",,,"Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","986:851;1005:1184;1237:476;1005:1184;1166:2688;1005:1184;1166:2688;2615:1764","1237:476",9.6,32.36,"TRUE","FALSE",44,57,12,5,"41.67%",2
"454285010","7a657ac6-f437-4a60-8667-0aefe1a46cc4","mission","Conclua a análise de uma viagem pendente","Acesse uma viagem pendente e conclua a análise desse viagem
","455160388","2025-10-15 11:02:34","2025-10-15 11:06:25",230.1,,"Windows",,,"Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","986:851;1005:1184;1237:476;1005:1184;1166:2688;1005:1184;1166:2688;2615:1764","1237:476",9.6,32.36,"TRUE","FALSE",30,29,12,5,"41.67%",2
"454285010","7a657ac6-f437-4a60-8667-0aefe1a46cc4","mission","Conclua a análise de uma viagem pendente","Acesse uma viagem pendente e conclua a análise desse viagem
","455160388","2025-10-15 11:02:34","2025-10-15 11:06:25",230.1,,"Windows",,,"Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","986:851;1005:1184;1237:476;1005:1184;1166:2688;1005:1184;1166:2688;2615:1764","1005:1184",2.8,32.36,"TRUE","FALSE",38,38,12,5,"41.67%",2
"454285010","7a657ac6-f437-4a60-8667-0aefe1a46cc4","mission","Conclua a análise de uma viagem pendente","Acesse uma viagem pendente e conclua a análise desse viagem
","455160388","2025-10-15 11:02:34","2025-10-15 11:06:25",230.1,,"Windows",,,"Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","986:851;1005:1184;1237:476;1005:1184;1166:2688;1005:1184;1166:2688;2615:1764","1166:2688",2.2,32.36,"TRUE","FALSE",94,33,12,5,"41.67%",2
"454285010","7a657ac6-f437-4a60-8667-0aefe1a46cc4","mission","Conclua a análise de uma viagem pendente","Acesse uma viagem pendente e conclua a análise desse viagem
","455160388","2025-10-15 11:02:34","2025-10-15 11:06:25",230.1,,"Windows",,,"Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","986:851;1005:1184;1237:476;1005:1184;1166:2688;1005:1184;1166:2688;2615:1764","1005:1184",1.9,32.36,"TRUE","FALSE",26,39,12,5,"41.67%",2
