"Maze ID","Block ID","Block type","Block title","Block description","Tester ID","Started at","Completed at","Study duration (seconds)","Device type","OS","Vendor","Model","Browser","Browser version","Language","Source","Reach email","Mission type","Path","Screen ID","Screen duration (seconds)","Total duration (seconds)","Success","Give up","x","y","Total click count","Total misclick count","Misclick rate","Total misclick page count"
"454285010","efd8e778-ac29-4d03-a549-8d2bb17d49dd","mission","Filtre o ranking de motoristas","Precisamos que navegue pela home e filtre o ranking de motoristas (será apenas uma simulação de filtragem de dados)
","455157112","2025-10-15 10:46:57","2025-10-15 10:49:19",142,"mobile","Android",,"K","Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","986:326;986:244;986:851;2113:3993;2113:4018","986:326",2,21.14,"TRUE","FALSE",77,37,5,1,"20.00%",1
"454285010","efd8e778-ac29-4d03-a549-8d2bb17d49dd","mission","Filtre o ranking de motoristas","Precisamos que navegue pela home e filtre o ranking de motoristas (será apenas uma simulação de filtragem de dados)
","455157112","2025-10-15 10:46:57","2025-10-15 10:49:19",142,"mobile","Android",,"K","Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","986:326;986:244;986:851;2113:3993;2113:4018","986:244",0.9,21.14,"TRUE","FALSE",64,60,5,1,"20.00%",1
"454285010","efd8e778-ac29-4d03-a549-8d2bb17d49dd","mission","Filtre o ranking de motoristas","Precisamos que navegue pela home e filtre o ranking de motoristas (será apenas uma simulação de filtragem de dados)
","455157112","2025-10-15 10:46:57","2025-10-15 10:49:19",142,"mobile","Android",,"K","Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","986:326;986:244;986:851;2113:3993;2113:4018","986:851",16.1,21.14,"TRUE","FALSE",74,73,5,1,"20.00%",1
"454285010","efd8e778-ac29-4d03-a549-8d2bb17d49dd","mission","Filtre o ranking de motoristas","Precisamos que navegue pela home e filtre o ranking de motoristas (será apenas uma simulação de filtragem de dados)
","455157112","2025-10-15 10:46:57","2025-10-15 10:49:19",142,"mobile","Android",,"K","Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","986:326;986:244;986:851;2113:3993;2113:4018","986:851",16.1,21.14,"TRUE","FALSE",89,39,5,1,"20.00%",1
"454285010","efd8e778-ac29-4d03-a549-8d2bb17d49dd","mission","Filtre o ranking de motoristas","Precisamos que navegue pela home e filtre o ranking de motoristas (será apenas uma simulação de filtragem de dados)
","455157112","2025-10-15 10:46:57","2025-10-15 10:49:19",142,"mobile","Android",,"K","Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","986:326;986:244;986:851;2113:3993;2113:4018","2113:3993",2.1,21.14,"TRUE","FALSE",78,22,5,1,"20.00%",1
"454285010","efd8e778-ac29-4d03-a549-8d2bb17d49dd","mission","Filtre o ranking de motoristas","Precisamos que navegue pela home e filtre o ranking de motoristas (será apenas uma simulação de filtragem de dados)
","455160388","2025-10-15 11:02:34","2025-10-15 11:06:25",230.1,,"Windows",,,"Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","986:851;2113:3993;2113:4018","986:851",31.5,33.45,"TRUE","FALSE",87,38,2,0,"0.00%",0
"454285010","efd8e778-ac29-4d03-a549-8d2bb17d49dd","mission","Filtre o ranking de motoristas","Precisamos que navegue pela home e filtre o ranking de motoristas (será apenas uma simulação de filtragem de dados)
","455160388","2025-10-15 11:02:34","2025-10-15 11:06:25",230.1,,"Windows",,,"Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","986:851;2113:3993;2113:4018","2113:3993",2,33.45,"TRUE","FALSE",89,23,2,0,"0.00%",0
"454285010","efd8e778-ac29-4d03-a549-8d2bb17d49dd","mission","Filtre o ranking de motoristas","Precisamos que navegue pela home e filtre o ranking de motoristas (será apenas uma simulação de filtragem de dados)
","455162920","2025-10-15 11:09:10","2025-10-15 11:10:44",93.4,,"Windows",,,"Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","986:851;2113:3993;2113:4018","986:851",18,20.01,"TRUE","FALSE",85,38,3,1,"33.33%",1
"454285010","efd8e778-ac29-4d03-a549-8d2bb17d49dd","mission","Filtre o ranking de motoristas","Precisamos que navegue pela home e filtre o ranking de motoristas (será apenas uma simulação de filtragem de dados)
","455162920","2025-10-15 11:09:10","2025-10-15 11:10:44",93.4,,"Windows",,,"Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","986:851;2113:3993;2113:4018","986:851",18,20.01,"TRUE","FALSE",88,38,3,1,"33.33%",1
"454285010","efd8e778-ac29-4d03-a549-8d2bb17d49dd","mission","Filtre o ranking de motoristas","Precisamos que navegue pela home e filtre o ranking de motoristas (será apenas uma simulação de filtragem de dados)
","455162920","2025-10-15 11:09:10","2025-10-15 11:10:44",93.4,,"Windows",,,"Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","986:851;2113:3993;2113:4018","2113:3993",2,20.01,"TRUE","FALSE",33,23,3,1,"33.33%",1
