"Maze ID","Block ID","Block type","Block title","Block description","Tester ID","Started at","Completed at","Study duration (seconds)","Device type","OS","Vendor","Model","Browser","Browser version","Language","Source","Reach email","Mission type","Path","Screen ID","Screen duration (seconds)","Total duration (seconds)","Success","Give up","x","y","Total click count","Total misclick count","Misclick rate","Total misclick page count"
"454285010","15e79818-29c5-4f0b-a6dd-a9af69566b01","mission","Filtre o ranking de motoristas","Precisamos que navegue pela home e filtre o ranking de motoristas (será apenas uma simulação de filtragem de dados)
","455165357","2025-10-15 11:18:29","2025-10-15 11:21:12",163.8,,"Windows",,,"Opera","122.0.0.0","pt-BR","link",,"GOAL_BASED","2100:2054;2100:2201;2113:3858","2100:2054",3.4,4.8,"TRUE","FALSE",52,1,2,0,"0.00%",0
"454285010","15e79818-29c5-4f0b-a6dd-a9af69566b01","mission","Filtre o ranking de motoristas","Precisamos que navegue pela home e filtre o ranking de motoristas (será apenas uma simulação de filtragem de dados)
","455165357","2025-10-15 11:18:29","2025-10-15 11:21:12",163.8,,"Windows",,,"Opera","122.0.0.0","pt-BR","link",,"GOAL_BASED","2100:2054;2100:2201;2113:3858","2100:2201",1.4,4.8,"TRUE","FALSE",42,24,2,0,"0.00%",0
"454285010","15e79818-29c5-4f0b-a6dd-a9af69566b01","mission","Filtre o ranking de motoristas","Precisamos que navegue pela home e filtre o ranking de motoristas (será apenas uma simulação de filtragem de dados)
","301227503","2025-10-15 11:39:52","2025-10-15 11:42:11",139.1,,"Windows",,,"Chrome","140.0.0.0","pt-BR","link",,"GOAL_BASED","2100:2054;2100:2201;2113:3858","2100:2054",2.1,5.59,"TRUE","FALSE",86,1,3,1,"33.33%",1
"454285010","15e79818-29c5-4f0b-a6dd-a9af69566b01","mission","Filtre o ranking de motoristas","Precisamos que navegue pela home e filtre o ranking de motoristas (será apenas uma simulação de filtragem de dados)
","301227503","2025-10-15 11:39:52","2025-10-15 11:42:11",139.1,,"Windows",,,"Chrome","140.0.0.0","pt-BR","link",,"GOAL_BASED","2100:2054;2100:2201;2113:3858","2100:2201",3.5,5.59,"TRUE","FALSE",75,26,3,1,"33.33%",1
"454285010","15e79818-29c5-4f0b-a6dd-a9af69566b01","mission","Filtre o ranking de motoristas","Precisamos que navegue pela home e filtre o ranking de motoristas (será apenas uma simulação de filtragem de dados)
","301227503","2025-10-15 11:39:52","2025-10-15 11:42:11",139.1,,"Windows",,,"Chrome","140.0.0.0","pt-BR","link",,"GOAL_BASED","2100:2054;2100:2201;2113:3858","2100:2201",3.5,5.59,"TRUE","FALSE",93,23,3,1,"33.33%",1
"454285010","15e79818-29c5-4f0b-a6dd-a9af69566b01","mission","Filtre o ranking de motoristas","Precisamos que navegue pela home e filtre o ranking de motoristas (será apenas uma simulação de filtragem de dados)
","455195293","2025-10-15 13:54:25","2025-10-15 17:53:21",14335.5,"mobile","iOS","Apple","iPhone","Chrome","141.0.7390.69","pt-BR","link",,"GOAL_BASED","2100:2054;2100:2201;2100:2054;2100:2201;2113:3858","2100:2054",42.5,50.11,"TRUE","FALSE",30,81,5,1,"20.00%",1
"454285010","15e79818-29c5-4f0b-a6dd-a9af69566b01","mission","Filtre o ranking de motoristas","Precisamos que navegue pela home e filtre o ranking de motoristas (será apenas uma simulação de filtragem de dados)
","455195293","2025-10-15 13:54:25","2025-10-15 17:53:21",14335.5,"mobile","iOS","Apple","iPhone","Chrome","141.0.7390.69","pt-BR","link",,"GOAL_BASED","2100:2054;2100:2201;2100:2054;2100:2201;2113:3858","2100:2054",42.5,50.11,"TRUE","FALSE",65,0,5,1,"20.00%",1
"454285010","15e79818-29c5-4f0b-a6dd-a9af69566b01","mission","Filtre o ranking de motoristas","Precisamos que navegue pela home e filtre o ranking de motoristas (será apenas uma simulação de filtragem de dados)
","455195293","2025-10-15 13:54:25","2025-10-15 17:53:21",14335.5,"mobile","iOS","Apple","iPhone","Chrome","141.0.7390.69","pt-BR","link",,"GOAL_BASED","2100:2054;2100:2201;2100:2054;2100:2201;2113:3858","2100:2201",1.2,50.11,"TRUE","FALSE",93,7,5,1,"20.00%",1
"454285010","15e79818-29c5-4f0b-a6dd-a9af69566b01","mission","Filtre o ranking de motoristas","Precisamos que navegue pela home e filtre o ranking de motoristas (será apenas uma simulação de filtragem de dados)
","455195293","2025-10-15 13:54:25","2025-10-15 17:53:21",14335.5,"mobile","iOS","Apple","iPhone","Chrome","141.0.7390.69","pt-BR","link",,"GOAL_BASED","2100:2054;2100:2201;2100:2054;2100:2201;2113:3858","2100:2054",5.4,50.11,"TRUE","FALSE",65,1,5,1,"20.00%",1
"454285010","15e79818-29c5-4f0b-a6dd-a9af69566b01","mission","Filtre o ranking de motoristas","Precisamos que navegue pela home e filtre o ranking de motoristas (será apenas uma simulação de filtragem de dados)
","455195293","2025-10-15 13:54:25","2025-10-15 17:53:21",14335.5,"mobile","iOS","Apple","iPhone","Chrome","141.0.7390.69","pt-BR","link",,"GOAL_BASED","2100:2054;2100:2201;2100:2054;2100:2201;2113:3858","2100:2201",1,50.11,"TRUE","FALSE",79,24,5,1,"20.00%",1
"454285010","15e79818-29c5-4f0b-a6dd-a9af69566b01","mission","Filtre o ranking de motoristas","Precisamos que navegue pela home e filtre o ranking de motoristas (será apenas uma simulação de filtragem de dados)
","455339232","2025-10-15 17:53:22","2025-10-15 17:54:51",88.9,,"Windows",,,"Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","2100:2054;2100:2201;2113:3858","2100:2054",1.9,3.1,"TRUE","FALSE",69,1,2,0,"0.00%",0
"454285010","15e79818-29c5-4f0b-a6dd-a9af69566b01","mission","Filtre o ranking de motoristas","Precisamos que navegue pela home e filtre o ranking de motoristas (será apenas uma simulação de filtragem de dados)
","455339232","2025-10-15 17:53:22","2025-10-15 17:54:51",88.9,,"Windows",,,"Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","2100:2054;2100:2201;2113:3858","2100:2201",1.2,3.1,"TRUE","FALSE",62,22,2,0,"0.00%",0
"454285010","15e79818-29c5-4f0b-a6dd-a9af69566b01","mission","Filtre o ranking de motoristas","Precisamos que navegue pela home e filtre o ranking de motoristas (será apenas uma simulação de filtragem de dados)
","455720185","2025-10-16 11:47:12","2025-10-16 11:48:46",94.1,,"Windows",,,"Chrome","141.0.0.0","en-US","link",,"GOAL_BASED","2100:2054;2100:2201;2113:3858","2100:2054",2.8,4.3,"TRUE","FALSE",22,1,2,0,"0.00%",0
"454285010","15e79818-29c5-4f0b-a6dd-a9af69566b01","mission","Filtre o ranking de motoristas","Precisamos que navegue pela home e filtre o ranking de motoristas (será apenas uma simulação de filtragem de dados)
","455720185","2025-10-16 11:47:12","2025-10-16 11:48:46",94.1,,"Windows",,,"Chrome","141.0.0.0","en-US","link",,"GOAL_BASED","2100:2054;2100:2201;2113:3858","2100:2201",1.5,4.3,"TRUE","FALSE",38,24,2,0,"0.00%",0
"454285010","15e79818-29c5-4f0b-a6dd-a9af69566b01","mission","Filtre o ranking de motoristas","Precisamos que navegue pela home e filtre o ranking de motoristas (será apenas uma simulação de filtragem de dados)
","455777544","2025-10-16 13:54:29","2025-10-16 13:57:09",160.3,"mobile","Android",,"K","Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","2100:2054;2100:2201;2113:3858","2100:2054",5.1,7.92,"TRUE","FALSE",10,2,2,0,"0.00%",0
"454285010","15e79818-29c5-4f0b-a6dd-a9af69566b01","mission","Filtre o ranking de motoristas","Precisamos que navegue pela home e filtre o ranking de motoristas (será apenas uma simulação de filtragem de dados)
","455777544","2025-10-16 13:54:29","2025-10-16 13:57:09",160.3,"mobile","Android",,"K","Chrome","141.0.0.0","pt-BR","link",,"GOAL_BASED","2100:2054;2100:2201;2113:3858","2100:2201",2.9,7.92,"TRUE","FALSE",13,25,2,0,"0.00%",0
